id,student_id,name,course_1,course_2,course_3,course_4,course_5,course_6,course_7,course_8,course_9
,2220399,A400,74,26,11,74,26,11,78,77,89
,2220400,A401,48,94,55,14,26,85,48,88,62
,2220401,A402,88,78,63,63,26,11,54,18,13
,2220402,A403,84,63,12,12,71,18,74,22,85
,2220403,A404,74,26,11,74,26,11,78,77,89
,2220404,A405,48,94,55,14,26,85,48,88,62
,2220405,A406,88,78,63,63,26,11,54,18,13
,2220406,A407,84,63,12,12,71,18,74,22,85
,2220407,A408,74,26,11,74,26,11,78,77,89
,2220408,A409,48,94,55,14,26,85,48,88,62
,2220409,A410,88,78,63,63,26,11,54,18,13
,2220410,A411,84,63,12,12,71,18,74,22,85
,2220411,A412,74,26,11,74,26,11,78,77,89
,2220412,A413,48,94,55,14,26,85,48,88,62
,2220413,A414,88,78,63,63,26,11,54,18,13
,2220414,A415,84,63,12,12,71,18,74,22,85
,2220415,A416,74,26,11,74,26,11,78,77,89
,2220416,A417,48,94,55,14,26,85,48,88,62
,2220417,A418,88,78,63,63,26,11,54,18,13
,2220418,A419,84,63,12,12,71,18,74,22,85
,2220419,A420,74,26,11,74,26,11,78,77,89
,2220420,A421,48,94,55,14,26,85,48,88,62
,2220421,A422,88,78,63,63,26,11,54,18,13
,2220422,A423,84,63,12,12,71,18,74,22,85
,2220423,A424,74,26,11,74,26,11,78,77,89
,2220424,A425,48,94,55,14,26,85,48,88,62
,2220425,A426,88,78,63,63,26,11,54,18,13
,2220426,A427,84,63,12,12,71,18,74,22,85
,2220427,A428,74,26,11,74,26,11,78,77,89
,2220428,A429,48,94,55,14,26,85,48,88,62
,2220429,A430,88,78,63,63,26,11,54,18,13
,2220430,A431,84,63,12,12,71,18,74,22,85
,2220431,A432,74,26,11,74,26,11,78,77,89
,2220432,A433,48,94,55,14,26,85,48,88,62
,2220433,A434,88,78,63,63,26,11,54,18,13
,2220434,A435,84,63,12,12,71,18,74,22,85
,2220435,A436,74,26,11,74,26,11,78,77,89
,2220436,A437,48,94,55,14,26,85,48,88,62
,2220437,A438,88,78,63,63,26,11,54,18,13
,2220438,A439,84,63,12,12,71,18,74,22,85
,2220439,A440,74,26,11,74,26,11,78,77,89
,2220440,A441,48,94,55,14,26,85,48,88,62
,2220441,A442,88,78,63,63,26,11,54,18,13
,2220442,A443,84,63,12,12,71,18,74,22,85
,2220443,A444,74,26,11,74,26,11,78,77,89
,2220444,A445,48,94,55,14,26,85,48,88,62
,2220445,A446,88,78,63,63,26,11,54,18,13
,2220446,A447,84,63,12,12,71,18,74,22,85
,2220447,A448,74,26,11,74,26,11,78,77,89
,2220448,A449,48,94,55,14,26,85,48,88,62
,2220449,A450,88,78,63,63,26,11,54,18,13
,2220450,A451,84,63,12,12,71,18,74,22,85
,2220451,A452,74,26,11,74,26,11,78,77,89
,2220452,A453,48,94,55,14,26,85,48,88,62
,2220453,A454,88,78,63,63,26,11,54,18,13
,2220454,A455,84,63,12,12,71,18,74,22,85
,2220455,A456,74,26,11,74,26,11,78,77,89
,2220456,A457,48,94,55,14,26,85,48,88,62
,2220457,A458,88,78,63,63,26,11,54,18,13
,2220458,A459,84,63,12,12,71,18,74,22,85
,2220459,A460,74,26,11,74,26,11,78,77,89
,2220460,A461,48,94,55,14,26,85,48,88,62
,2220461,A462,88,78,63,63,26,11,54,18,13
,2220462,A463,84,63,12,12,71,18,74,22,85
,2220463,A464,74,26,11,74,26,11,78,77,89
,2220464,A465,48,94,55,14,26,85,48,88,62
,2220465,A466,88,78,63,63,26,11,54,18,13
,2220466,A467,84,63,12,12,71,18,74,22,85
,2220467,A468,74,26,11,74,26,11,78,77,89
,2220468,A469,48,94,55,14,26,85,48,88,62
,2220469,A470,88,78,63,63,26,11,54,18,13
,2220470,A471,84,63,12,12,71,18,74,22,85
,2220471,A472,74,26,11,74,26,11,78,77,89
,2220472,A473,48,94,55,14,26,85,48,88,62
,2220473,A474,88,78,63,63,26,11,54,18,13
,2220474,A475,84,63,12,12,71,18,74,22,85
,2220475,A476,74,26,11,74,26,11,78,77,89
,2220476,A477,48,94,55,14,26,85,48,88,62
,2220477,A478,88,78,63,63,26,11,54,18,13
,2220478,A479,84,63,12,12,71,18,74,22,85
,2220479,A480,74,26,11,74,26,11,78,77,89
,2220480,A481,48,94,55,14,26,85,48,88,62
,2220481,A482,88,78,63,63,26,11,54,18,13
,2220482,A483,84,63,12,12,71,18,74,22,85
,2220483,A484,74,26,11,74,26,11,78,77,89
,2220484,A485,48,94,55,14,26,85,48,88,62
,2220485,A486,88,78,63,63,26,11,54,18,13
,2220486,A487,84,63,12,12,71,18,74,22,85
,2220487,A488,74,26,11,74,26,11,78,77,89
,2220488,A489,48,94,55,14,26,85,48,88,62
,2220489,A490,88,78,63,63,26,11,54,18,13
,2220490,A491,84,63,12,12,71,18,74,22,85
,2220491,A492,74,26,11,74,26,11,78,77,89
,2220492,A493,48,94,55,14,26,85,48,88,62
,2220493,A494,88,78,63,63,26,11,54,18,13
,2220494,A495,84,63,12,12,71,18,74,22,85
,2220495,A496,74,26,11,74,26,11,78,77,89
,2220496,A497,48,94,55,14,26,85,48,88,62
,2220497,A498,88,78,63,63,26,11,54,18,13
