id,student_id,name,course_1,course_2,course_3,course_4,course_5,course_6,course_7,course_8,course_9
,2220300,A200,74,26,11,74,26,11,78,77,89
,2220301,A201,48,94,55,14,26,85,48,88,62
,2220302,A202,88,78,63,63,26,11,54,18,13
,2220303,A203,84,63,12,12,71,18,74,22,85
,2220304,A204,74,26,11,74,26,11,78,77,89
,2220305,A205,48,94,55,14,26,85,48,88,62
,2220306,A206,88,78,63,63,26,11,54,18,13
,2220307,A207,84,63,12,12,71,18,74,22,85
,2220300,A208,74,26,11,74,26,11,78,77,89
,2220301,A209,48,94,55,14,26,85,48,88,62
,2220302,A210,88,78,63,63,26,11,54,18,13
,2220303,A211,84,63,12,12,71,18,74,22,85
,2220304,A212,74,26,11,74,26,11,78,77,89
,2220305,A213,48,94,55,14,26,85,48,88,62
,2220306,A214,88,78,63,63,26,11,54,18,13
,2220307,A215,84,63,12,12,71,18,74,22,85
,2220300,A216,74,26,11,74,26,11,78,77,89
,2220301,A217,48,94,55,14,26,85,48,88,62
,2220302,A218,88,78,63,63,26,11,54,18,13
,2220303,A219,84,63,12,12,71,18,74,22,85
,2220304,A220,74,26,11,74,26,11,78,77,89
,2220305,A221,48,94,55,14,26,85,48,88,62
,2220306,A222,88,78,63,63,26,11,54,18,13
,2220307,A223,84,63,12,12,71,18,74,22,85
,2220300,A224,74,26,11,74,26,11,78,77,89
,2220301,A225,48,94,55,14,26,85,48,88,62
,2220302,A226,88,78,63,63,26,11,54,18,13
,2220303,A227,84,63,12,12,71,18,74,22,85
,2220304,A228,74,26,11,74,26,11,78,77,89
,2220305,A229,48,94,55,14,26,85,48,88,62
,2220306,A230,88,78,63,63,26,11,54,18,13
,2220307,A231,84,63,12,12,71,18,74,22,85
,2220300,A232,74,26,11,74,26,11,78,77,89
,2220301,A233,48,94,55,14,26,85,48,88,62
,2220302,A234,88,78,63,63,26,11,54,18,13
,2220303,A235,84,63,12,12,71,18,74,22,85
,2220304,A236,74,26,11,74,26,11,78,77,89
,2220305,A237,48,94,55,14,26,85,48,88,62
,2220306,A238,88,78,63,63,26,11,54,18,13
,2220307,A239,84,63,12,12,71,18,74,22,85
,2220300,A240,74,26,11,74,26,11,78,77,89
,2220301,A241,48,94,55,14,26,85,48,88,62
,2220302,A242,88,78,63,63,26,11,54,18,13
,2220303,A243,84,63,12,12,71,18,74,22,85
,2220304,A244,74,26,11,74,26,11,78,77,89
,2220305,A245,48,94,55,14,26,85,48,88,62
,2220306,A246,88,78,63,63,26,11,54,18,13
,2220307,A247,84,63,12,12,71,18,74,22,85
,2220300,A248,74,26,11,74,26,11,78,77,89
,2220301,A249,48,94,55,14,26,85,48,88,62
,2220302,A250,88,78,63,63,26,11,54,18,13
,2220303,A251,84,63,12,12,71,18,74,22,85
,2220304,A252,74,26,11,74,26,11,78,77,89
,2220305,A253,48,94,55,14,26,85,48,88,62
,2220306,A254,88,78,63,63,26,11,54,18,13
,2220307,A255,84,63,12,12,71,18,74,22,85
,2220300,A256,74,26,11,74,26,11,78,77,89
,2220301,A257,48,94,55,14,26,85,48,88,62
,2220302,A258,88,78,63,63,26,11,54,18,13
,2220303,A259,84,63,12,12,71,18,74,22,85
,2220304,A260,74,26,11,74,26,11,78,77,89
,2220305,A261,48,94,55,14,26,85,48,88,62
,2220306,A262,88,78,63,63,26,11,54,18,13
,2220307,A263,84,63,12,12,71,18,74,22,85
,2220300,A264,74,26,11,74,26,11,78,77,89
,2220301,A265,48,94,55,14,26,85,48,88,62
,2220302,A266,88,78,63,63,26,11,54,18,13
,2220303,A267,84,63,12,12,71,18,74,22,85
,2220304,A268,74,26,11,74,26,11,78,77,89
,2220305,A269,48,94,55,14,26,85,48,88,62
,2220306,A270,88,78,63,63,26,11,54,18,13
,2220307,A271,84,63,12,12,71,18,74,22,85
,2220300,A272,74,26,11,74,26,11,78,77,89
,2220301,A273,48,94,55,14,26,85,48,88,62
,2220302,A274,88,78,63,63,26,11,54,18,13
,2220303,A275,84,63,12,12,71,18,74,22,85
,2220304,A276,74,26,11,74,26,11,78,77,89
,2220305,A277,48,94,55,14,26,85,48,88,62
,2220306,A278,88,78,63,63,26,11,54,18,13
,2220307,A279,84,63,12,12,71,18,74,22,85
,2220300,A280,74,26,11,74,26,11,78,77,89
,2220301,A281,48,94,55,14,26,85,48,88,62
,2220302,A282,88,78,63,63,26,11,54,18,13
,2220303,A283,84,63,12,12,71,18,74,22,85
,2220304,A284,74,26,11,74,26,11,78,77,89
,2220305,A285,48,94,55,14,26,85,48,88,62
,2220306,A286,88,78,63,63,26,11,54,18,13
,2220307,A287,84,63,12,12,71,18,74,22,85
,2220300,A288,74,26,11,74,26,11,78,77,89
,2220301,A289,48,94,55,14,26,85,48,88,62
,2220302,A290,88,78,63,63,26,11,54,18,13
,2220303,A291,84,63,12,12,71,18,74,22,85
,2220304,A292,74,26,11,74,26,11,78,77,89
,2220305,A293,48,94,55,14,26,85,48,88,62
,2220306,A294,88,78,63,63,26,11,54,18,13
,2220307,A295,84,63,12,12,71,18,74,22,85
,2220300,A296,74,26,11,74,26,11,78,77,89
,2220301,A297,48,94,55,14,26,85,48,88,62
,2220302,A298,88,78,63,63,26,11,54,18,13
